test;valor_media;valorainteligencia;valoraentusiasmo;valorainiciativas;valoradifusion;valoraconectar
pre;4,00;4;4;4;4;4
pre;4,40;4;5;4;4;5
pre;4,40;4;4;5;4;5
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;4,80;5;5;4;5;5
pre;4,40;4;5;4;4;5
pre;3,80;4;5;4;3;3
pre;4,00;4;4;4;4;4
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;4,40;4;4;4;5;5
pre;4,00;4;4;4;4;4
pre;5,00;5;5;5;5;5
pre;4,60;4;5;5;4;5
pre;3,80;4;4;3;4;4
pre;5,00;5;5;5;5;5
pre;1,00;1;1;1;1;1
pre;4,20;4;5;4;4;4
pre;3,80;4;4;4;4;3
pre;4,60;4;5;5;5;4
pre;1,00;1;1;1;1;1
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;4,80;4;5;5;5;5
pre;4,40;5;4;4;5;4
pre;4,00;4;4;4;4;4
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;4,40;5;4;4;4;5
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;3,40;4;3;3;3;4
pre;4,00;4;4;4;4;4
pre;4,40;3;5;4;5;5
pre;4,20;5;3;5;3;5
pre;4,40;3;5;5;4;5
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;4,40;5;4;4;4;5
pre;1,00;1;1;1;1;1
pre;4,00;4;4;4;4;4
pre;4,60;4;5;4;5;5
pre;4,40;5;4;5;4;4
pre;4,40;4;4;5;4;5
pre;4,20;4;5;4;4;4
pre;5,00;5;5;5;5;5
pre;4,80;5;4;5;5;5
pre;4,60;4;5;5;5;4
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;5,00;5;5;5;5;5
pre;1,40;2;1;1;1;2
pre;3,00;3;3;3;3;3
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;5,00;5;5;5;5;5
pre;4,20;4;4;4;4;5
pre;4,00;4;4;4;4;4
pre;3,80;4;3;4;4;4
pre;4,00;4;4;4;4;4
pre;2,00;2;2;2;2;2
pre;3,80;3;4;4;4;4
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;3,60;3;4;3;4;4
pre;3,80;4;3;5;4;3
pre;4,80;4;5;5;5;5
pre;4,00;4;4;4;4;4
pre;4,00;5;4;3;4;4
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;4,20;4;4;5;4;4
pre;4,00;4;4;4;4;4
pre;4,60;4;4;5;5;5
pre;1,00;1;1;1;1;1
pre;4,00;5;4;3;4;4
pre;4,60;5;4;4;5;5
pre;4,00;4;4;4;4;4
pre;3,80;4;4;3;4;4
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;4,40;4;5;5;4;4
pre;4,00;4;4;4;4;4
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;1,80;2;2;2;2;1
pre;3,60;4;4;3;4;3
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;4,40;4;5;5;4;4
pre;3,00;3;3;3;3;3
pre;3,80;3;4;4;4;4
pre;3,80;4;3;4;4;4
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;1,00;1;1;1;1;1
pre;4,60;5;5;5;4;4
pre;4,20;5;4;4;4;4
pre;1,00;1;1;1;1;1
pre;4,40;4;4;5;4;5
pre;4,40;4;5;5;4;4
pre;4,60;5;5;4;4;5
pre;4,20;4;4;4;5;4
pre;5,00;5;5;5;5;5
pre;4,80;5;4;5;5;5
pre;3,80;4;4;3;3;5
pre;4,20;4;4;5;4;4
pre;3,60;3;4;3;4;4
pre;4,20;5;4;4;4;4
pre;3,60;4;4;4;3;3
pre;4,80;5;5;5;5;4
pre;5,00;5;5;5;5;5
pre;4,20;3;5;4;4;5
pre;3,60;3;3;4;4;4
pre;4,80;5;5;5;4;5
pre;4,20;4;4;5;4;4
pre;3,80;4;4;3;3;5
pre;4,20;5;5;3;3;5
pre;4,60;5;5;5;4;4
pre;5,00;5;5;5;5;5
pre;4,40;4;5;4;5;4
pre;4,20;4;5;4;4;4
pre;1,00;1;1;1;1;1
pre;4,20;4;3;5;5;4
pre;5,00;5;5;5;5;5
pre;4,20;5;3;4;5;4
pre;4,00;3;3;5;4;5
pre;1,00;1;1;1;1;1
pre;3,80;4;3;4;4;4
pre;4,20;4;5;4;4;4
pre;3,80;4;3;4;4;4
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;4,40;4;3;5;5;5
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;4,60;4;5;5;5;4
pre;4,60;4;4;5;5;5
pre;4,60;4;5;4;5;5
pre;5,00;5;5;5;5;5
pre;4,80;5;5;4;5;5
pre;4,40;4;4;5;4;5
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;4,40;5;5;4;4;4
pre;3,80;5;2;4;5;3
pre;5,00;5;5;5;5;5
pre;3,60;4;4;4;3;3
pre;4,80;5;5;4;5;5
pre;4,40;5;4;4;4;5
pre;4,40;5;4;4;4;5
pre;4,00;4;4;4;4;4
pre;4,40;4;3;5;5;5
pre;4,80;5;5;5;4;5
pre;4,20;4;5;4;4;4
pre;4,00;4;4;4;4;4
pre;3,00;3;3;3;3;3
pre;5,00;5;5;5;5;5
pre;4,20;3;4;4;5;5
pre;4,40;3;4;5;5;5
pre;4,40;3;4;5;5;5
pre;4,00;4;4;4;4;4
pre;1,60;2;1;2;2;1
pre;4,40;5;3;4;5;5
pre;3,20;2;2;4;4;4
pre;5,00;5;5;5;5;5
pre;4,20;4;4;4;4;5
pre;4,20;5;4;4;4;4
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;3,40;4;3;3;3;4
pre;4,40;5;5;4;4;4
pre;4,00;4;4;4;4;4
pre;5,00;5;5;5;5;5
pre;4,60;5;5;4;4;5
pre;3,00;3;3;3;3;3
pre;4,00;4;4;4;4;4
pre;4,00;4;5;4;3;4
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;3,00;3;3;3;3;3
pre;4,40;4;5;4;5;4
pre;1,00;1;1;1;1;1
pre;5,00;5;5;5;5;5
pre;3,20;4;4;3;3;2
pre;5,00;5;5;5;5;5
pre;4,00;3;4;4;5;4
pre;3,40;3;4;3;3;4
pre;4,20;4;5;5;4;3
pre;4,00;4;4;4;4;4
pre;3,00;3;3;3;3;3
pre;4,80;5;5;4;5;5
pre;4,40;4;5;4;4;5
pre;4,60;4;4;5;5;5
pre;3,80;4;3;5;4;3
pre;4,60;5;4;4;5;5
pre;4,40;4;4;5;5;4
pre;5,00;5;5;5;5;5
pre;1,00;1;1;1;1;1
pre;4,00;4;4;4;4;4
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;3,80;4;3;4;4;4
pre;1,00;1;1;1;1;1
pre;3,80;4;4;4;4;3
pre;4,80;5;4;5;5;5
pre;4,00;4;4;4;4;4
pre;4,00;4;4;4;4;4
pre;1,00;1;1;1;1;1
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;5,00;5;5;5;5;5
pre;4,60;5;5;4;4;5
pre;4,20;4;4;5;4;4
pre;3,80;4;3;4;4;4
pre;3,60;3;3;4;4;4
pre;4,60;4;4;5;5;5
pre;3,60;4;4;3;4;3
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;3,60;3;4;3;4;4
pre;3,60;4;3;3;4;4
pre;4,60;4;5;5;4;5
pre;3,00;3;3;3;3;3
pre;3,60;3;3;4;4;4
pre;4,60;4;5;4;5;5
pre;3,80;4;4;3;4;4
pre;3,80;3;4;4;4;4
pre;4,00;4;4;4;4;4
pre;4,20;5;4;4;4;4
pre;3,80;4;4;3;4;4
pre;1,00;1;1;1;1;1
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;4,60;5;5;4;4;5
pre;3,80;4;4;3;4;4
pre;4,60;4;4;5;5;5
pre;3,60;3;4;4;3;4
pre;3,80;3;4;4;4;4
pre;5,00;5;5;5;5;5
pre;4,00;4;4;4;4;4
pre;4,20;4;3;4;5;5
pre;4,80;4;5;5;5;5
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;3,60;4;3;3;4;4
pre;4,00;4;4;4;4;4
pre;2,20;2;3;1;2;3
pre;2,00;2;3;1;2;2
pre;4,40;5;5;4;4;4
pre;5,00;5;5;5;5;5
pre;4,40;5;4;5;4;4
pre;3,60;3;4;4;3;4
pre;4,60;5;4;5;4;5
pre;5,00;5;5;5;5;5
pre;5,00;5;5;5;5;5
pre;4,40;4;4;5;4;5
pre;3,80;4;3;4;4;4
pre;4,00;3;4;4;4;5
pre;4,00;4;4;4;4;4
pre;1,00;1;1;1;1;1
pre;4,60;4;4;5;5;5
pre;4,60;4;5;5;4;5
pre;5,00;5;5;5;5;5
pre;1,00;1;1;1;1;1
pre;4,40;4;5;4;4;5
pre;4,00;4;4;4;4;4
pre;4,80;5;4;5;5;5
pre;5,00;5;5;5;5;5
pre;1,00;1;1;1;1;1
pre;4,40;4;3;5;5;5
pos;5,00;5;5;5;5;5
pos;4,20;4;4;4;4;5
pos;4,60;5;5;4;5;4
pos;4,00;3;5;4;4;4
pos;4,00;5;3;4;4;4
pos;5,00;5;5;5;5;5
pos;1,00;1;1;1;1;1
pos;4,20;4;5;4;4;4
pos;4,60;5;5;4;4;5
pos;4,80;5;5;4;5;5
pos;5,00;5;5;5;5;5
pos;5,00;5;5;5;5;5
pos;5,00;5;5;5;5;5
pos;4,60;5;5;5;4;4
pos;5,00;5;5;5;5;5
pos;4,00;4;4;3;5;4
pos;4,00;4;4;4;4;4
pos;4,40;5;5;4;4;4
pos;4,20;4;4;5;4;4
pos;5,00;5;5;5;5;5
pos;4,00;4;4;4;4;4
pos;4,00;4;4;4;4;4
pos;1,80;3;3;1;1;1
pos;5,00;5;5;5;5;5
pos;3,60;3;4;2;4;5
pos;4,20;4;4;5;4;4
pos;4,20;4;4;3;5;5
pos;4,60;5;5;4;4;5
pos;5,00;5;5;5;5;5
pos;4,40;5;4;4;4;5
pos;4,40;5;5;4;4;4
pos;4,40;5;4;5;4;4
pos;1,00;1;1;1;1;1
pos;5,00;5;5;5;5;5
pos;5,00;5;5;5;5;5
pos;1,00;1;1;1;1;1
pos;1,00;1;1;1;1;1
pos;4,80;4;5;5;5;5
pos;4,00;4;4;4;4;4
pos;4,60;4;5;5;5;4
pos;4,20;5;4;5;4;3
pos;5,00;5;5;5;5;5
pos;4,20;4;4;5;4;4
pos;4,80;4;5;5;5;5
pos;5,00;5;5;5;5;5
pos;4,60;5;5;4;4;5
pos;4,80;5;5;5;5;4
pos;4,20;4;5;4;4;4
pos;4,60;4;5;5;4;5
pos;5,00;5;5;5;5;5
pos;4,80;5;4;5;5;5
pos;5,00;5;5;5;5;5
pos;4,00;4;4;4;4;4
pos;1,00;1;1;1;1;1
pos;4,40;5;5;3;4;5
pos;4,20;4;3;5;4;5
pos;3,80;3;4;4;4;4
pos;4,40;4;5;5;4;4
pos;4,00;4;4;4;4;4
pos;4,00;4;4;4;4;4
pos;4,20;4;4;4;4;5
pos;5,00;5;5;5;5;5
pos;4,00;4;3;4;4;5
pos;5,00;5;5;5;5;5
pos;4,60;5;5;4;4;5
pos;4,20;4;4;4;4;5
pos;1,00;1;1;1;1;1
pos;1,00;1;1;1;1;1
pos;4,40;5;4;5;4;4
pos;1,00;1;1;1;1;1
pos;5,00;5;5;5;5;5
pos;4,60;5;4;4;5;5
pos;4,60;5;5;4;4;5
pos;4,00;4;4;4;4;4
pos;4,00;4;4;4;4;4
pos;4,60;4;4;5;5;5
pos;5,00;5;5;5;5;5
pos;5,00;5;5;5;5;5
pos;1,00;1;1;1;1;1
pos;4,00;4;4;4;4;4
pos;4,00;4;4;4;4;4
pos;5,00;5;5;5;5;5
pos;4,40;5;4;5;4;4
pos;1,60;2;2;2;1;1
pos;4,00;4;4;4;4;4
pos;4,00;4;4;4;4;4
pos;4,60;4;5;4;5;5
pos;2,80;2;2;4;3;3
pos;4,00;4;4;4;4;4
pos;1,60;1;1;1;2;3
pos;4,20;5;4;4;4;4
pos;4,00;4;4;4;4;4
pos;5,00;5;5;5;5;5
pos;5,00;5;5;5;5;5
pos;4,40;5;4;4;5;4
pos;4,40;5;5;4;4;4
pos;1,00;1;1;1;1;1
pos;5,00;5;5;5;5;5
pos;4,40;4;5;4;4;5
pos;1,00;1;1;1;1;1
pos;5,00;5;5;5;5;5
pos;3,40;4;5;2;2;4
pos;5,00;5;5;5;5;5
pos;4,00;4;4;4;4;4
pos;5,00;5;5;5;5;5
pos;5,00;5;5;5;5;5
pos;5,00;5;5;5;5;5
pos;4,20;3;4;4;5;5
pos;3,80;4;4;4;4;3
pos;5,00;5;5;5;5;5
pos;3,00;3;3;3;3;3
pos;4,60;4;5;5;5;4
pos;4,60;5;4;5;5;4
pos;2,40;2;2;2;3;3
pos;4,00;4;4;3;5;4
pos;5,00;5;5;5;5;5
pos;4,00;4;4;4;4;4
pos;1,00;1;1;1;1;1
pos;1,00;1;1;1;1;1
pos;4,80;5;5;5;5;4
pos;3,20;3;3;3;3;4
